Time,I(L7),i_ref_BB,iL_BB,iout_est_BB,iout_est_filt_BB,pwmBB,udc_BB,Uref_BB,I(L6)
0.069860000000005612,19.999028198712779,11.9849853515625,13.220963083426795,4.7943115234375,4.9260877283451405,0,239.41864491013729,240,14.544818389196083
0.069870000000005608,18.192354291601916,11.822610855102539,14.544818398576354,4.78973388671875,4.8675952638770443,0,239.17940456717028,240,12.676073733799388
0.069880000000005604,19.512896267590371,11.682229042053223,12.676073737338811,18.395298004150391,4.9975749339623601,0,239.5970804175189,240,10.803947017273854
0.0698900000000056,20.832558128760681,11.994179725646973,10.803947006365888,3.3864345550537109,5.0851655369252384,1,239.92084104284805,240,8.9296924041263352
0.069900000000005597,22.151340461691774,12.204397201538086,8.9296923988513299,3.3915996551513672,5.1361483305025306,1,240.15065831405474,240,10.256407759023487
0.069910000000005593,20.342228808671717,12.326756477355957,10.25640776219916,-4.5965576171875,5.0500893206754771,1,239.91068650283529,240,11.582238884668916
0.069920000000005589,18.524507974791469,12.120214462280273,11.582238883534046,4.79949951171875,4.9746660344668534,1,239.67095448471309,240,12.907186370383736
0.069930000000005585,16.699406314708707,11.939199447631836,12.907186373922741,4.79461669921875,4.9090876182933734,0,239.4314620200737,240,14.231250805096279
0.069940000000005581,18.020943310667054,11.781810760498047,14.231250816010288,4.7900390625,4.8525652039696068,0,239.19220886954193,240,12.362701178889463
0.069950000000005577,19.341599528646341,11.646157264709473,12.362701170332002,18.081827163696289,4.980246778940904,1,239.59421195407404,240,10.490977903935153
0.069960000000005573,20.66137555566749,11.952591896057129,10.490977899735299,3.3869838714599609,5.066148382981372,1,239.90233303101257,240,11.816652693270049
0.069970000000005569,21.980271978360168,12.158756256103516,11.816652701668318,-6.16241455078125,4.9895551595732499,1,239.6626093601412,240,13.141443946869357
0.069980000000005566,20.155412975254901,11.974932670593262,13.141443957920274,4.7943115234375,4.9227954282831758,0,239.42312523441154,240,14.465352253591975
0.069990000000005562,18.322100722895392,11.814708709716797,14.465352265347065,4.78973388671875,4.8650977958314501,0,239.18388041445687,240,12.596640637514852
0.070000000000005558,16.48157365312041,11.676235198974609,12.59664063013588,18.315847396850586,4.9947252511216247,0,239.59758253642437,240,10.724599821045727
0.070010000000005554,17.803255830191379,11.987339973449707,10.724599803779711,3.3866939544677734,5.0820618755489164,1,239.91737703628002,240,8.8504838058670927
0.07002000000000555,19.124057132522989,12.196948051452637,8.8504838089420446,3.3916683197021484,5.132873838183615,1,240.14323841238658,240,10.177251951710932
0.070030000000005546,20.443978147200632,12.318897247314453,10.177251951404287,-4.5172119140625,5.047764867735073,1,239.90327401554293,240,11.503135833118936
0.070040000000005542,21.763019460918432,12.114635467529297,11.503135837642731,4.7991943359375,4.9731643240460555,1,239.66354940438777,240,12.828136039435668
0.070050000000005538,19.922972201558956,11.93559455871582,12.828136050302419,4.79461669921875,4.9082951420227046,0,239.42406433931404,240,14.152253159612902
0.070060000000005535,18.074656907930461,11.779908180236816,14.15225315781754,4.78973388671875,4.8523734327595927,0,239.1848185809539,240,12.283893991579779
0.070070000000005531,19.395277326871373,11.645696640014648,12.283893980225002,18.002923965454102,4.9795168721514109,1,239.58288910274914,240,10.412413304047046
0.070080000000005527,20.715017578713489,11.950840950012207,10.412413288918287,3.3867282867431641,5.064973855800611,1,239.88709301667689,240,11.738140455116595
0.070090000000005523,22.033878250070572,12.155937194824219,11.738140472061787,-6.08428955078125,4.9890573304988823,1,239.6473845744701,240,13.062984035552507
0.070100000000005519,20.18341117032427,11.973737716674805,13.062984038469949,4.7943115234375,4.9228711820787296,0,239.4079156621878,240,14.386944634236935
0.070110000000005515,18.324523337774423,11.814889907836914,14.386944641842092,4.7894287109375,4.8656491065176821,0,239.16868604047835,240,12.518526678517809
0.070120000000005511,16.458470160505861,11.677558898925781,12.518526673943597,18.237281799316406,4.9946282012579388,0,239.57849674666159,240,10.64683098360746
0.070130000000005507,17.780167735592627,11.98710823059082,10.646830972405041,3.3865728378295898,5.0814212549714277,1,239.89442032075905,240,8.7731112184387854
0.070140000000005503,19.10098442567757,12.195411682128906,8.7731112188293991,3.3913059234619141,5.1317814485548352,1,240.11643379942552,240,10.099930931564813
0.0701500000000055,20.420920817852917,12.316275596618652,10.099930932483403,-4.4403076171875,5.0473259481164945,1,239.87649618723276,240,11.425866345886442
0.070160000000005496,21.739977498819627,12.113582611083984,11.425866361491899,4.79888916015625,4.9732747074618873,1,239.63679833396372,240,12.750918050771141
0.070170000000005492,19.874572160420854,11.935859680175781,12.75091806007822,4.79400634765625,4.9088562425108346,0,239.39734000003801,240,14.075086635193578
0.070180000000005488,18.000981689424311,11.781254768371582,14.07508663930912,4.78912353515625,4.8532966829221849,0,239.15812094611471,240,12.2071728151708
0.070190000000005484,19.321651211424971,11.647912979125977,12.207172815692502,17.925369262695312,4.979705193674036,1,239.55237924324271,240,10.336187705835906
0.07020000000000548,20.64144053360063,11.951292991638184,10.33618769952227,3.3865480422973633,5.0645415142245946,1,239.85279887627013,240,11.661965659742265
0.070210000000005476,21.960350242586852,12.154898643493652,11.661965672260521,-6.00830078125,4.9891160979817624,1,239.61312470266387,240,12.986860009155912
0.070220000000005472,20.084783043297257,11.973879814147949,12.986860028263436,4.79339599609375,4.9233285517743894,0,239.37369002473901,240,14.310871342981569
0.070230000000005469,18.200910944869261,11.815988540649414,14.310871350176058,4.788818359375,4.8664263320704046,0,239.13449460317827,240,12.44299722037449
0.070240000000005465,16.310005771132641,11.679424285888672,12.442997217476659,18.160869598388672,4.9946521097068262,1,239.54055888732947,240,10.57189459799214
0.070250000000005461,17.631802294765869,11.987165451049805,10.571894591748787,3.3861083984375,5.0808075080086228,1,239.85276880104158,240,11.897515457968657
0.070260000000005457,15.736804862913232,12.193938255310059,11.897515463488162,-6.24420166015625,5.0031508219507996,1,239.6130946574882,240,13.222252818152425
0.070270000000005453,13.836438426630044,12.007562637329102,13.222252832179038,4.79339599609375,4.9353080275660171,0,239.37366000958616,240,14.546107267378389
0.070280000000005449,11.931979935606316,11.844738960266113,14.546107266255603,4.788818359375,4.8765252394602339,0,239.13446461801817,240,12.677959361330469
0.070290000000005445,10.024706515400936,11.70366096496582,12.677959361440116,18.395969390869141,5.0061523791793574,0,239.55227214067779,240,10.806426945749859
0.070300000000005441,8.1158946161342236,12.014765739440918,10.806426942622238,3.3858699798583984,5.0933266406373745,1,239.87619403131873,240,8.9327637940478937
0.070310000000005438,6.2068191633309731,12.223984718322754,8.9327637908809265,3.3913240432739258,5.1438489583760223,1,240.1062019942745,240,10.259477101925087
0.070320000000005434,4.2987527114755686,12.345236778259277,10.259477107865678,-4.6002197265625,5.0572537779666886,1,239.86627460626684,240,11.585306181914854
0.07033000000000543,2.3929646008376682,12.137409210205078,11.585306182837485,4.798583984375,4.9812743328338254,1,239.62658696696644,240,12.910251623337397
0.070340000000005426,0.49072011812377747,11.955057144165039,12.910251626863101,4.793701171875,4.915130368512842,0,239.38713883680305,240,14.234314015120148
0.070350000000005422,-1.4067203384936711,11.79631233215332,14.234314022587569,4.788818359375,4.8580379840185284,0,239.14792997644588,240,12.366350270023879
0.070360000000005418,-3.2981020894221436,11.659290313720703,12.366350262027481,18.084571838378906,4.9852058924180733,1,239.55015231915232,240,10.495209274479413
