   Time             I(L7)             i_out_M_BB1       udc_BB1           i_pred_BB1        iL_BB1            Uref_BB1          pwmBB1            i_ref_BB1       
  5.400000000E-04   2.145738984E+01   2.547490986E+00   1.273745772E+02   0.000000000E+00   2.184627154E+01   2.400000000E+02   0.000000000E+00   1.247360992E+01 
  5.500000000E-04   2.105933020E+01   2.566484589E+00   1.283242576E+02   0.000000000E+00   2.145738983E+01   2.400000000E+02   0.000000000E+00   1.265717411E+01 
  5.600000000E-04   2.064922586E+01   2.585167110E+00   1.292583836E+02   0.000000000E+00   2.105933020E+01   2.400000000E+02   0.000000000E+00   1.282919788E+01 
  5.700000000E-04   2.022737025E+01   2.603427070E+00   1.301713820E+02   0.000000000E+00   2.064922585E+01   2.400000000E+02   0.000000000E+00   1.298969936E+01 
  5.800000000E-04   1.979406419E+01   2.621253010E+00   1.310626793E+02   0.000000000E+00   2.022737025E+01   2.400000000E+02   0.000000000E+00   1.313867092E+01 
  5.900000000E-04   1.934961562E+01   2.638633767E+00   1.319317173E+02   0.000000000E+00   1.979406419E+01   2.400000000E+02   1.000000000E+00   1.327611160E+01 
  6.000000000E-04   2.066938631E+01   2.655558497E+00   1.327779538E+02   0.000000000E+00   1.934961562E+01   2.400000000E+02   1.000000000E+00   1.340202618E+01 
  6.100000000E-04   2.198827739E+01   2.652904911E+00   1.326452748E+02   0.000000000E+00   2.066938631E+01   2.400000000E+02   0.000000000E+00   1.353417587E+01 
  6.200000000E-04   2.153082985E+01   2.650253975E+00   1.325127283E+02   0.000000000E+00   2.198827740E+01   2.400000000E+02   0.000000000E+00   1.369006920E+01 
  6.300000000E-04   2.106128122E+01   2.669235407E+00   1.334617995E+02   0.000000000E+00   2.153082985E+01   2.400000000E+02   0.000000000E+00   1.385145855E+01 
  6.400000000E-04   2.058286686E+01   2.687731666E+00   1.343866126E+02   0.000000000E+00   2.106128122E+01   2.400000000E+02   0.000000000E+00   1.400035095E+01 
  6.500000000E-04   2.009285923E+01   2.705856929E+00   1.352928760E+02   0.000000000E+00   2.058286686E+01   2.400000000E+02   0.000000000E+00   1.413678551E+01 
  6.600000000E-04   1.959160430E+01   2.723480108E+00   1.361740350E+02   0.000000000E+00   2.009285922E+01   2.400000000E+02   0.000000000E+00   1.426080704E+01 
  6.700000000E-04   1.907945498E+01   2.740590283E+00   1.370295442E+02   0.000000000E+00   1.959160430E+01   2.400000000E+02   1.000000000E+00   1.437243557E+01 
  6.800000000E-04   2.039940572E+01   2.757176908E+00   1.378588758E+02   0.000000000E+00   1.907945498E+01   2.400000000E+02   1.000000000E+00   1.447169781E+01 
  6.900000000E-04   2.171847674E+01   2.754421800E+00   1.377211196E+02   0.000000000E+00   2.039940572E+01   2.400000000E+02   0.000000000E+00   1.457705212E+01 
  7.000000000E-04   2.119384030E+01   2.751669427E+00   1.375835010E+02   0.000000000E+00   2.171847675E+01   2.400000000E+02   0.000000000E+00   1.470668983E+01 
  7.100000000E-04   2.065746152E+01   2.770229521E+00   1.385115064E+02   0.000000000E+00   2.119384030E+01   2.400000000E+02   0.000000000E+00   1.484167957E+01 
  7.200000000E-04   2.011251347E+01   2.788238007E+00   1.394119311E+02   0.000000000E+00   2.065746151E+01   2.400000000E+02   0.000000000E+00   1.496335888E+01 
  7.300000000E-04   1.955639652E+01   2.805825950E+00   1.402913281E+02   0.000000000E+00   2.011251348E+01   2.400000000E+02   0.000000000E+00   1.507179165E+01 
  7.400000000E-04   1.898949999E+01   2.822846049E+00   1.411423334E+02   0.000000000E+00   1.955639651E+01   2.400000000E+02   1.000000000E+00   1.516704464E+01 
  7.500000000E-04   2.030951068E+01   2.839287909E+00   1.419644268E+02   0.000000000E+00   1.898949999E+01   2.400000000E+02   1.000000000E+00   1.524916267E+01 
  7.600000000E-04   2.162864162E+01   2.836450747E+00   1.418225680E+02   0.000000000E+00   2.030951069E+01   2.400000000E+02   0.000000000E+00   1.533716965E+01 
