Time,I_L4_,I_L5_,I_L6_,I_L7_,iout_est_filt_COMP,i_out_M_COMP,iout_est_COMP,udc_COMP,i_pred_COMP,i_ref_COMP,iL_COMP,Uref_COMP,iout_est_filt_MPC,i_out_M_MPC,iout_est_MPC,udc_MPC,i_pred_MPC,i_ref_IP2,iL_MPC,Uref_MPC,iout_est_filt_BB,i_out_M_BB,iout_est_BB,udc_BB,i_pred_BB,i_ref_BB,iL_BB,Uref_BB,i_exp,pwmBB,i_out_M_BB1,udc_BB1,i_pred_BB1,iL_BB1,Uref_BB1,pwmBB1,i_ref_BB1
0.2598305,2.331661596,1.825058525,-0.1958450426,19.14903956,-0.1482491572,0.1603381907,6.065979004,160.4765111,1.600557685,-0.861920476,2.372059509,160,-0.1483097808,0.1597562598,6.078338623,159.8677642,1.100355864,0.5811921358,1.865033283,160,0.1617287704,0.1605497388,0.1210971177,160.5489999,0,0.2591052949,-0.1554851821,160,-0.8632660508,0,0.1624103945,162.4580219,0,19.19133323,160,0,1.556656361
0.259821,3.098756638,2.58425633,0.5712473915,19.94736794,-0.1482491572,0.1603381907,6.065979004,160.3532374,1.600557685,-0.861920476,3.139098581,160,-0.1483097808,0.1597562598,6.078338623,159.7687344,1.100355864,0.5811921358,2.624191012,160,0.161940796,0.1605433901,0.120303154,160.5457951,0,0.2584781945,0.6116313287,160,-0.8632660508,0,0.161435846,161.5351389,0,19.98907362,160,0,1.18734324
0.259828,2.533627095,2.024916578,0.005972324102,19.36020413,-0.1482491572,0.1603381907,6.065979004,160.447604,1.600557685,-0.861920476,2.574012633,160,-0.1483097808,0.1597562598,6.078338623,159.8452006,1.100355864,0.5811921358,2.064883127,160,0.161940796,0.1605433901,0.120303154,160.5516892,0,0.2584781945,0.04634087603,160,-0.8632660508,0,0.161435846,162.2188401,0,19.40234555,160,0,1.18734324
0.2598235,2.896994981,2.384543591,0.369338959,19.73836715,-0.1482491572,0.1603381907,6.065979004,160.3892105,1.600557685,-0.861920476,2.937354012,160,-0.1483097808,0.1597562598,6.078338623,159.7982912,1.100355864,0.5811921358,2.424491157,160,0.161940796,0.1605433901,0.120303154,160.5501715,0,0.2584781945,0.4097189183,160,-0.8632660508,0,0.161435846,161.7816769,0,19.78023005,160,0,1.18734324
0.2598395,1.604176041,1.105330755,-0.9219258137,18.38265319,-0.1482491572,0.1603381907,6.065979004,160.5596639,1.600557685,-0.861920476,1.644604524,160,-0.1483097808,0.1597562598,6.078338623,159.928302,1.100355864,0.5811921358,1.145321278,160,0.1617287704,0.1605497388,0.1210971177,160.5184374,0,0.2591052949,-0.8816111432,160,-0.8632660508,0,0.1624103945,163.2971058,0,18.42548006,160,0,1.556656361
0.2598375,1.765882968,1.265290734,-0.7606488993,18.55378634,-0.1482491572,0.1603381907,6.065979004,160.5440151,1.600557685,-0.861920476,1.806306546,160,-0.1483097808,0.1597562598,6.078338623,159.9176484,1.100355864,0.5811921358,1.305279621,160,0.1617287704,0.1605497388,0.1210971177,160.5280525,0,0.2591052949,-0.7203223049,160,-0.8632660508,0,0.1624103945,163.1136278,0,18.59649674,160,0,1.556656361
0.259839,1.644604528,1.14532128,-0.8816111396,18.42548006,-0.1482491572,0.1603381907,6.065979004,160.5559033,1.600557685,-0.861920476,1.68503189,160,-0.1483097808,0.1597562598,6.078338623,159.9257886,1.100355864,0.5811921358,1.185311493,160,0.1617287704,0.1605497388,0.1210971177,160.5209923,0,0.2591052949,-0.8412933887,160,-0.8632660508,0,0.1624103945,163.2513968,0,18.46827793,160,0,1.556656361
0.2598205,3.139098582,2.624191016,0.6116313329,19.98907363,-0.1482491572,0.1603381907,6.065979004,160.3457654,1.600557685,-0.861920476,3.179437826,160,-0.1483097808,0.1597562598,6.078338623,159.7625484,1.100355864,0.5811921358,2.664123635,160,0.161940796,0.1605433901,0.120303154,160.5446422,0,0.2584781945,0.6520157356,160,-0.8632660508,0,0.161435846,161.485544,0,20.03075559,160,0,1.18734324
0.2598345,2.008402177,1.5052141,-0.5186484766,18.80960783,-0.1482491572,0.1603381907,6.065979004,160.5175098,1.600557685,-0.861920476,2.048816373,160,-0.1483097808,0.1597562598,6.078338623,159.8986687,1.100355864,0.5811921358,1.545198533,160,0.1617287704,0.1605497388,0.1210971177,160.5394505,0,0.2591052949,-0.4783060135,160,-0.8632660508,0,0.1624103945,162.8352066,0,18.85214136,160,0,1.556656361
0.2598275,2.574012638,2.064883128,0.04634087696,19.40234556,-0.1482491572,0.1603381907,6.065979004,160.4415197,1.600557685,-0.861920476,2.614395502,160,-0.1483097808,0.1597562598,6.078338623,159.8403881,1.100355864,0.5811921358,2.104847834,160,0.161940796,0.1605433901,0.120303154,160.5519243,0,0.2584781945,0.08671096197,160,-0.8632660508,0,0.161435846,162.1706871,0,19.44445632,160,0,1.18734324
